Entity Couple,Annotator,1. Would you say these entities are closely related in any way?,2. Do you exactly know how they are connected?,3. Do you believe most people would be curious to discover more about their connection - if there were one?,Result,Surprisal,Annotation,S_corrected_Annotation
Entity Pair 40: Scottish_National_Gallery AND Gian_Lorenzo_Bernini,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 40: Scottish_National_Gallery AND Gian_Lorenzo_Bernini,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 40: Scottish_National_Gallery AND Gian_Lorenzo_Bernini,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 41: Renita_J._Weems AND Lyman_Beecher,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 41: Renita_J._Weems AND Lyman_Beecher,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 41: Renita_J._Weems AND Lyman_Beecher,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 42: Yana_Santos AND Karol_Rosa,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 42: Yana_Santos AND Karol_Rosa,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 42: Yana_Santos AND Karol_Rosa,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 43: Mathew_Charles_Lamb AND Rhodesian_Light_Infantry,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 43: Mathew_Charles_Lamb AND Rhodesian_Light_Infantry,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 43: Mathew_Charles_Lamb AND Rhodesian_Light_Infantry,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 44: Syntax-directed_translation AND Compiler-compiler,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 44: Syntax-directed_translation AND Compiler-compiler,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 44: Syntax-directed_translation AND Compiler-compiler,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 45: Alexander_the_Great_(1956_film) AND Cleopatra_Eurydice_of_Macedon,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 45: Alexander_the_Great_(1956_film) AND Cleopatra_Eurydice_of_Macedon,Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 45: Alexander_the_Great_(1956_film) AND Cleopatra_Eurydice_of_Macedon,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 46: Citheronia AND Citheronia_lobesis,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 46: Citheronia AND Citheronia_lobesis,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 46: Citheronia AND Citheronia_lobesis,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 47: Royal_Monastery_of_San_Juan_de_la_Peña AND Valencia_Cathedral,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 47: Royal_Monastery_of_San_Juan_de_la_Peña AND Valencia_Cathedral,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 47: Royal_Monastery_of_San_Juan_de_la_Peña AND Valencia_Cathedral,Anonymous User 3,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 48: Bifrons_(demon) AND Leraje,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 48: Bifrons_(demon) AND Leraje,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 48: Bifrons_(demon) AND Leraje,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 49: Robinson's_Arch AND Edward_Robinson_(scholar),Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 49: Robinson's_Arch AND Edward_Robinson_(scholar),Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
