Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Seder_Olam_Rabbah'; 'Alexander_the_Great';11;308.33;113391.33;113083;113699.66;0.15;0.13;0.46;17.75;1;1;0.8
Jewish_diaspora'; 'Alexander_the_Great';13;12331.33;113391.33;101060;125722.66;0.44;0.09;0.38;7.11;1;1;0.8
Kalanos'; 'Alexander_the_Great';19;398.95;113391.33;112992.38;113790.28;0.5;0.28;0.36;1.72;1;0;0.68
Siege_of_Miletus'; 'Alexander_the_Great';13;192;113391.33;113199.33;113583.33;0.3;0.09;0.24;6.65;1;0;0.77
Susa'; 'Alexander_the_Great';26;11417.09;113391.33;101974.24;124808.42;0.38;0.13;0.26;3.25;1;1;0.8
Seleucid–Mauryan_war'; 'Alexander_the_Great';18;5440.74;113391.33;107950.59;118832.07;0.35;0.1;0.34;7.12;1;0;0.67
Taxila'; 'Alexander_the_Great';70;21426.67;113391.33;91964.66;134818;0.33;0.12;0.33;4.68;1;0;0.7
Justinian_I'; 'Alexander_the_Great';14;18485;113391.33;94906.33;131876.33;0.42;0.38;0.4;2.6;1;0;0.79
Atropatene'; 'Alexander_the_Great';10;1186.78;113391.33;112204.55;114578.11;0.33;0.15;0.38;9.24;1;1;0.84
Ashkenazi_Jews'; 'Alexander_the_Great';130;59743.67;113391.33;53647.66;173135;0.4;0.11;0.48;5.18;1;1;0.8
Battle_of_Megalopolis'; 'Alexander_the_Great';30;410.33;113391.33;112981;113801.66;0.39;0.1;0.35;5.49;1;1;0.8
Marcus_Aurelius'; 'Alexander_the_Great';23;41067.67;113391.33;72323.66;154459;0.31;0.56;0.38;0.96;1;0;0.78
Babylonian_astronomical_diaries'; 'Alexander_the_Great';14;190;113391.33;113201.33;113581.33;0.24;0.2;0.5;11.67;1;0;0.78
Amyntas_III_of_Macedon'; 'Alexander_the_Great';27;706.67;113391.33;112684.66;114098;0.37;0.52;0.32;0.54;0;1;0.86
Timeline_of_ancient_history'; 'Alexander_the_Great';43;8971;113391.33;104420.33;122362.33;0.23;0.09;0.34;8.26;0;1;0.8
Heidelberg_United_FC'; 'Alexander_the_Great';20;911.67;113391.33;112479.66;114303;0.4;0.09;0.78;13.1;1;0;0.78
Rabbinic_Judaism'; 'Alexander_the_Great';24;3367;113391.33;110024.33;116758.33;0.37;0.09;0.45;8.42;1;1;0.8
Peritas'; 'Alexander_the_Great';40;431.05;113391.33;112960.28;113822.38;0.31;0.22;0.4;5.28;1;1;0.8
Tower_of_Babel'; 'Alexander_the_Great';34;32750.33;113391.33;80641;146141.66;0.45;0.14;0.45;5.42;1;0;0.79
Languages_of_the_Roman_Empire'; 'Alexander_the_Great';71;2830.33;113391.33;110561;116221.66;0.48;0.14;0.41;3.59;0;1;0.88
Vergina_Sun'; 'Alexander_the_Great';40;1763;113391.33;111628.33;115154.33;0.34;0.13;0.36;5.59;1;1;0.8
Nebuchadnezzar_II'; 'Alexander_the_Great';21;18293.33;113391.33;95098;131684.66;0.37;0.55;0.35;0.22;1;1;0.8
Demetrius_I_of_Macedon'; 'Alexander_the_Great';129;1381.67;113391.33;112009.66;114773;0.37;0.91;0.3;2.97;0;1;0.83
Ancient_Greek_art'; 'Alexander_the_Great';61;6607.33;113391.33;106784;119998.66;0.59;0.21;0.33;0.54;0;1;0.86
Neo-Babylonian_Empire'; 'Alexander_the_Great';12;6085;113391.33;107306.33;119476.33;0.45;0.16;0.32;3.95;1;0;0.78
Kabul'; 'Alexander_the_Great';20;34920.69;113391.33;78470.64;148312.02;0.33;0.12;0.42;8.58;1;0;0.79
Frederick_the_Great'; 'Alexander_the_Great';12;23079.67;113391.33;90311.66;136471;0.44;0.3;0.58;7.52;1;0;0.79
Gandhara'; 'Alexander_the_Great';42;17948.74;113391.33;95442.59;131340.07;0.47;0.14;0.29;2.02;1;1;0.8
Ai-Khanoum'; 'Alexander_the_Great';10;1787.89;113391.33;111603.44;115179.22;0.39;0.13;0.33;6.71;1;1;0.81
Wikipedia'; 'Alexander_the_Great';77;404632.57;113391.33;291241.24;518023.9;0.29;0.12;0.94;12.57;1;0;0.78
9K720_Iskander'; 'Alexander_the_Great';26;4044;113391.33;109347.33;117435.33;0.21;0.12;0.73;15.22;1;0;0.78
Oxyartes'; 'Alexander_the_Great';15;525.97;113391.33;112865.36;113917.3;0.34;0.4;0.32;1.44;1;1;0.8
Babylonia'; 'Alexander_the_Great';22;40716.53;113391.33;72674.8;154107.86;0.48;0.22;0.29;1.07;1;0;0.68
