Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
'Alexander_the_Great'; 'Alauddin_Khalji';27;113391.33;35195.67;78195.66;148587.0;0.28;0.0;0.51;12.51
'Alexander_the_Great'; 'Achilles';726;113391.33;112957.39;433.94;226348.72;0.35;0.53;0.36;0.21
'Alexander_the_Great'; 'Greco-Buddhism';921;113391.33;5264.74;108126.59;118656.07;0.55;0.1;0.3;0.72
'Alexander_the_Great'; 'Apelles';44;113391.33;1761.63;111629.7;115152.96;0.34;0.42;0.38;1.3
'Alexander_the_Great'; 'Egypt';23;113391.33;220427.43;107036.1;333818.76;0.43;0.16;0.53;7.43
'Alexander_the_Great'; 'Lingua_franca';219;113391.33;17663.67;95727.66;131055.0;0.31;0.0;0.4;5.74
'Alexander_the_Great'; 'Menes_of_Pella';10;113391.33;70.67;113320.66;113462.0;0.4;0.54;0.37;0.0
'Alexander_the_Great'; 'Pompeii';25;113391.33;94945.45;18445.88;208336.78;0.36;0.14;0.43;7.07
'Alexander_the_Great'; 'Alexander_(2004_film)';529;113391.33;11083.33;102308.0;124474.66;0.6;0.11;0.3;0.48
'Alexander_the_Great'; 'Cleopatra';131;113391.33;189619.3;76227.97;303010.63;0.33;0.78;0.33;1.61
'Alexander_the_Great'; 'Hercules';12;113391.33;24803.0;88588.33;138194.33;0.26;0.13;0.44;11.15
'Alexander_the_Great'; 'Main_Page';483;113391.33;191212491.33;191099100.0;191325882.66;0.08;0.0;0;4.55
'Alexander_the_Great'; 'Mithridatic_Wars';11;113391.33;1011.0;112380.33;114402.33;0.36;0.09;0.41;6.77
'Alexander_the_Great'; 'Platanus';12;113391.33;6318.97;107072.36;119710.3;0.21;0.31;0.54;8.72
'Alexander_the_Great'; 'Augustus';175;113391.33;137211.97;23820.64;250603.3;0.41;0.38;0.32;0.37
'Alexander_the_Great'; 'Indian_campaign_of_Alexander_the_Great';1187;113391.33;7870.67;105520.66;121262.0;0.74;0.09;0.26;0.49
'Alexander_the_Great'; 'Kasta_Tomb';244;113391.33;694.67;112696.66;114086.0;0.32;0.0;0.35;3.57
'Alexander_the_Great'; 'Gandhara';90;113391.33;17948.74;95442.59;131340.07;0.47;0.14;0.29;1.44
'Alexander_the_Great'; 'Amfissa';10;113391.33;463.68;112927.65;113855.01;0.3;0.12;0.37;6.31
'Alexander_the_Great'; 'Pixodarus';14;113391.33;109.47;113281.86;113500.8;0.24;0.45;0.35;1.48
'Alexander_the_Great'; 'Diogenes';20;113391.33;54017.39;59373.94;167408.72;0.32;0.0;0.38;10.63
'Alexander_the_Great'; 'Alexander_the_Great_(1956_film)';125;113391.33;639.33;112752.0;114030.66;0;0.15;0.32;6.7
'Alexander_the_Great'; 'Chronology_of_European_exploration_of_Asia';37;113391.33;1701.33;111690.0;115092.66;0.43;0.43;0.41;0.99
'Alexander_the_Great'; 'Isocrates';103;113391.33;2485.79;110905.54;115877.12;0.24;0.3;0.39;2.82
'Alexander_the_Great'; 'Septimius_Severus';50;113391.33;10094.67;103296.66;123486.0;0.31;0.67;0.39;0.0
'Alexander_the_Great'; 'Kadifekale';12;113391.33;282.11;113109.22;113673.44;0.3;0.16;0.43;5.67
'Alexander_the_Great'; 'Pierre-Henri_de_Valenciennes';21;113391.33;137.33;113254.0;113528.66;0.22;0.42;0;5.82
'Alexander_the_Great'; 'Satrap';288;113391.33;13055.64;100335.69;126446.97;0.46;0.0;0.25;1.91
'Alexander_the_Great'; 'Ecbatana';25;113391.33;2636.32;110755.01;116027.65;0.38;0.13;0.35;3.89
'Alexander_the_Great'; 'Battle_of_Megalopolis';81;113391.33;410.33;112981.0;113801.66;0.39;0.1;0.35;2.46
'Alexander_the_Great'; 'Demaratus_(hetairos)';28;113391.33;103.16;113288.17;113494.49;0.32;0.53;0.4;0.71
'Alexander_the_Great'; 'List_of_cities_founded_by_Alexander_the_Great';751;113391.33;682.67;112708.66;114074.0;0.62;0.0;0.32;0.87
'Alexander_the_Great'; 'Frederick_the_Great';12;113391.33;23079.67;90311.66;136471.0;0.44;0.3;0.58;6.62
'Alexander_the_Great'; 'Partition_of_Babylon';179;113391.33;746.33;112645.0;114137.66;0.55;0.09;0.29;0.73
'Alexander_the_Great'; 'Slavery';15;113391.33;73275.42;40115.91;186666.75;0.45;0.0;0.51;10.93
'Alexander_the_Great'; 'Oliver_Stone';19;113391.33;19427.0;93964.33;132818.33;0.35;0.34;0.5;5.0
'Alexander_the_Great'; 'Indo-Greek_Kingdom';50;113391.33;6086.67;107304.66;119478.0;0.55;0.16;0.28;0.42
'Alexander_the_Great'; 'Government_of_Macedonia_(ancient_kingdom)';105;113391.33;503.67;112887.66;113895.0;0.5;0.0;0.3;1.84
'Alexander_the_Great'; 'Getae';40;113391.33;2793.14;110598.19;116184.47;0.37;0.13;0.37;3.8
'Alexander_the_Great'; 'Ancient_Olympic_Games';95;113391.33;9932.0;103459.33;123323.33;0.5;0.09;0.37;2.57
'Alexander_the_Great'; 'Thalestris';33;113391.33;351.05;113040.28;113742.38;0.48;0.43;0.4;0.47
'Alexander_the_Great'; 'Tomb_of_Alexander_the_Great';1161;113391.33;3668.0;109723.33;117059.33;0.56;0.19;0.34;0.52
'Alexander_the_Great'; 'Basileus';1278;113391.33;4328.95;109062.38;117720.28;0.4;0.0;0.36;2.7
'Alexander_the_Great'; 'Aegae_(Macedonia)';18;113391.33;184.0;113207.33;113575.33;0.28;0.0;0.35;6.43
'Alexander_the_Great'; 'Mongol_Empire';19;113391.33;36709.0;76682.33;150100.33;0.4;0.14;0.38;5.49
'Alexander_the_Great'; 'Smyrna';53;113391.33;16354.46;97036.87;129745.79;0.4;0.15;0.41;4.08
'Alexander_the_Great'; 'Ashoka';29;113391.33;109081.82;4309.51;222473.15;0.34;0.55;0.35;0.1
'Alexander_the_Great'; 'Military_campaign';1660;113391.33;1410.0;111981.33;114801.33;0.31;0.0;0.54;3.94
'Alexander_the_Great'; 'Julian_(emperor)';44;113391.33;5752.33;107639.0;119143.66;0.46;0.54;0.42;0.25
'Alexander_the_Great'; 'Thessalus_(actor)';59;113391.33;267.77;113123.56;113659.1;0.4;0.48;0.52;1.41
'Alexander_the_Great'; 'Tomb_of_Cyrus';220;113391.33;1504.33;111887.0;114895.66;0.45;0.14;0.38;1.87
'Alexander_the_Great'; 'Xerxes_I';96;113391.33;19467.67;93923.66;132859.0;0.42;0.55;0.3;1.12
'Alexander_the_Great'; 'Albert_Einstein';25;113391.33;184575.67;71184.34;297967.0;0.35;0.31;0.63;7.57
'Alexander_the_Great'; 'Hephaestus';35;113391.33;29084.0;84307.33;142475.33;0.33;0.09;0.41;6.88
'Alexander_the_Great'; 'Iranian_languages';13;113391.33;4608.33;108783.0;117999.66;0.37;0.12;0.4;6.49
'Alexander_the_Great'; 'Persian_Gates';336;113391.33;297.67;113093.66;113689.0;0.27;0.0;0.27;2.95
'Alexander_the_Great'; 'Aphrodite';25;113391.33;85380.62;28010.71;198771.95;0.3;0.09;0.35;7.8
'Alexander_the_Great'; 'Ptolemy_II_Philadelphus';225;113391.33;2491.33;110900.0;115882.66;0.38;0.88;0.31;1.74
'Alexander_the_Great'; 'Polychrome';17;113391.33;2824.54;110566.79;116215.87;0.46;0.0;0.53;7.89
'Alexander_the_Great'; 'Spitamenes';134;113391.33;576.32;112815.01;113967.65;0.41;0.4;0.34;0.31
'Alexander_the_Great'; 'Agis_III';16;113391.33;340.67;113050.66;113732.0;0.38;0.58;0.34;0.54
'Alexander_the_Great'; 'RoboCop';14;113391.33;44157.89;69233.44;157549.22;0.29;0.14;0.93;16.94
'Alexander_the_Great'; 'Western_culture';113;113391.33;15527.67;97863.66;128919.0;0.58;0.12;0.42;2.19
'Alexander_the_Great'; 'Aristotle';7852;113391.33;242694.17;129302.84;356085.5;0.43;0.25;0.34;0.88
'Alexander_the_Great'; 'Chenab_River';17;113391.33;3278.33;110113.0;116669.66;0.2;0.2;0.39;7.13
'Alexander_the_Great'; 'Cleitus_the_Black';731;113391.33;1628.33;111763.0;115019.66;0.45;0.58;0.3;0.8
'Alexander_the_Great'; 'Crusades';14;113391.33;128405.74;15014.41;241797.07;0.46;0.08;0.42;7.63
'Alexander_the_Great'; 'Maurya_Empire';111;113391.33;31107.0;82284.33;144498.33;0.47;0.14;0.29;1.45
'Alexander_the_Great'; 'Stagira_(ancient_city)';142;113391.33;917.33;112474.0;114308.66;0.28;0.13;0.38;3.36
'Alexander_the_Great'; 'Alexandria_Eschate';64;113391.33;905.0;112486.33;114296.33;0.55;0.12;0.36;1.49
'Alexander_the_Great'; 'Stater';11;113391.33;1414.74;111976.59;114806.07;0.25;0.0;0.39;11.73
'Alexander_the_Great'; 'Uxii';15;113391.33;97.89;113293.44;113489.22;0.24;0.0;0.37;7.29
'Alexander_the_Great'; 'Parmenion';168;113391.33;1837.37;111553.96;115228.7;0.51;0.58;0.26;1.72
