Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Paeonia_(kingdom)';43;113391.33;1169.33;112222;114560.66;0.45;0.15;0.35;3.31;1;1;0.86
Alexander_the_Great'; 'Battle_of_Gaugamela';1598;113391.33;5842.33;107549;119233.66;0.67;0.1;0.2;1.04;1;1;0.82
Alexander_the_Great'; 'Quintus_Curtius_Rufus';25;113391.33;805;112586.33;114196.33;0.37;0.34;0.3;1.14;1;1;0.86
Alexander_the_Great'; 'Hellenistic_Judaism';729;113391.33;3978.67;109412.66;117370;0.45;0.11;0.35;2.21;1;1;0.83
Alexander_the_Great'; 'Peter_Green_(historian)';10;113391.33;778.07;112613.26;114169.4;0.47;0.32;0.44;4.17;1;1;0.83
Alexander_the_Great'; 'Athens';42;113391.33;82684.21;30707.12;196075.54;0.38;0.12;0.5;7.19;0;1;0.83
Alexander_the_Great'; 'Gedrosia';98;113391.33;1331.58;112059.75;114722.91;0.4;0.22;0.33;2.19;1;1;0.84
Alexander_the_Great'; 'Archelaus_of_Cappadocia';23;113391.33;218;113173.33;113609.33;0.26;0.85;0.43;0.45;1;0;0.7
Alexander_the_Great'; 'Lanike';140;113391.33;214.21;113177.12;113605.54;0.43;0.33;0.34;0.91;1;0;0.68
Alexander_the_Great'; 'Baiae';10;113391.33;2933.68;110457.65;116325.01;0.4;0.13;0.46;9.97;1;1;0.8
Alexander_the_Great'; 'Charlemagne';28;113391.33;149675;36283.67;263066.33;0.47;0.52;0.47;1.33;1;0;0.79
Alexander_the_Great'; 'Taurus_Mountains';23;113391.33;2571.67;110819.66;115963;0.23;0.17;0.4;8.97;1;1;0.85
Alexander_the_Great'; 'Ares';22;113391.33;61797.37;51593.96;175188.7;0.41;0.08;0.37;6.47;1;1;0.82
Alexander_the_Great'; 'Adriatic_Sea';139;113391.33;9450.67;103940.66;122842;0.39;0.2;0.5;4.42;1;1;0.88
Alexander_the_Great'; 'Achilles';726;113391.33;112957.39;433.94;226348.72;0.35;0.53;0.36;0.21;1;0;0.79
Alexander_the_Great'; 'Greco-Buddhism';921;113391.33;5264.74;108126.59;118656.07;0.55;0.1;0.3;0.93;1;0;0.79
